state,year,cigsale,lnincome,beer,age15to24,retprice
Minnesota,1983,113.2,9.874606,,0.1780478,87.3
Pennsylvania,1983,125.3,9.876906,,0.168443,81.7
Colorado,1983,125.3,9.978037,,0.1797584,73.3
Montana,1983,113.7,9.74816,,0.171363,77.2
New Mexico,1983,96.3,9.686483,,0.1800425,79.6
Missouri,1983,134.1,9.829301,,0.1709801,74.8
Maine,1983,135.4,9.724025,,0.1698453,80.8
Oklahoma,1983,140,9.804846,,0.1730734,83.9
Vermont,1983,153.8,9.759017,,0.1819305,77
Mississippi,1983,122.3,9.504479,,0.1850077,78.6
Rhode Island,1983,135.8,9.882348,,0.1790835,84
Nebraska,1983,110.8,9.802988,,0.1735738,83.7
Kansas,1983,127.6,9.885566,,0.1756316,77
Georgia,1983,128.6,9.755732,,0.1806213,78.9
Delaware,1983,149.6,9.934576,,0.1833317,82
Kentucky,1983,201.1,9.642765,,0.1793512,66.4
North Dakota,1983,119.6,9.792011,,0.1865199,77.9
Arkansas,1983,128,9.593053,,0.1680779,82
Wyoming,1983,141.2,9.884188,,0.1806553,71
Iowa,1983,115.6,9.783572,,0.1746177,84
South Dakota,1983,109.8,9.655467,,0.1793965,78.8
California,1983,110.8,10.03174,,0.1775339,84.9
New Hampshire,1983,232.9,9.940468,,0.1736175,74.7
Alabama,1983,116.3,9.626769,,0.178482,84.4
Indiana,1983,143,9.775058,,0.1790859,75.7
North Carolina,1983,169.8,9.693887,,0.1832362,66
Utah,1983,69,9.643308,,0.191352,82
Connecticut,1983,114.1,10.12007,,0.1677898,95.6
Idaho,1983,111.3,9.694544,,0.1534723,76.5
Virginia,1983,144.7,9.907087,,0.1815373,68.8
Indiana,1984,137.8,9.829457,22,0.1750897,85.2
Pennsylvania,1984,115.3,9.911305,24.9,0.1644367,97.7
West Virginia,1984,111.9,9.640779,19.7,0.1648305,97.2
Montana,1984,110.1,9.74522,29.4,0.1653752,91.3
Kansas,1984,121.7,9.916465,20.7,0.1705827,91
Arkansas,1984,123.1,9.65044,17.9,0.1646114,93.6
Vermont,1984,144.3,9.80524,26.3,0.1773424,90.6
California,1984,104.8,10.07536,25,0.1735324,94.9
South Carolina,1984,127,9.675049,22,0.1844139,81.3
Mississippi,1984,116.4,9.545903,20.1,0.1814912,89
Kentucky,1984,183.2,9.699555,18.5,0.1754001,75.4
Tennessee,1984,125.1,9.729241,19.7,0.171026,88.3
New Mexico,1984,88.9,9.707866,28.3,0.174311,90.2
Connecticut,1984,112.5,10.1816,20.3,0.1636597,113.5
New Hampshire,1984,215.1,10.00683,35.6,0.1692388,90.5
Nevada,1984,136.6,9.994218,35.1,0.1629178,99.8
Ohio,1984,127.1,9.884094,24.9,0.1698483,89.2
Virginia,1984,136.8,9.955709,22.4,0.1774029,76
Georgia,1984,126.3,9.82549,21.3,0.1769441,86.8
Nebraska,1984,107.7,9.853516,25.4,0.1685867,94.8
Colorado,1984,119.7,10.00205,25.7,0.1737033,83.4
Minnesota,1984,110.8,9.950923,23.5,0.1724642,99.2
Utah,1984,66.3,9.678898,13.4,0.1878305,95.3
Oklahoma,1984,128.1,9.813323,17.8,0.1687259,93.3
Alabama,1984,113,9.671621,18,0.1748019,90.8
Missouri,1984,130,9.881513,23.7,0.1665539,84.8
Texas,1984,117.2,9.909603,29.8,0.17776,93.8
Wisconsin,1984,105.6,9.881549,32.9,0.1745464,100.8
Rhode Island,1984,136.9,9.931385,25.1,0.17542,94.8
North Dakota,1984,109.4,9.795627,24,0.1808014,94.4
Louisiana,1984,128.9,9.760681,23.8,0.1819489,90.7
Idaho,1984,103.6,9.707316,23.2,0.1520167,88.5
Illinois,1984,124,10.00314,24.6,0.1702812,89.6
Maine,1984,135.5,9.774763,22.1,0.1657197,93.7
Delaware,1984,144,9.962282,26.6,0.1782245,91.1
North Carolina,1984,160.6,9.753726,19.8,0.1793711,75
Wyoming,1984,128.9,9.884352,26.3,0.174207,81.7
South Dakota,1984,105.7,9.721091,21.7,0.1735899,89.8
Iowa,1984,111.2,9.831582,23.9,0.1699089,93.3
Kansas,1985,115.7,9.935948,20.1,0.1655337,97.5
Minnesota,1985,113,9.968969,23,0.1668805,101.5
Iowa,1985,109.4,9.839345,22.9,0.1652002,99.5
Utah,1985,66.5,9.697767,13.8,0.184309,104.6
Ohio,1985,126.7,9.904476,24.2,0.1657045,92.2
North Carolina,1985,156.3,9.781757,19.7,0.175506,78.9
New Mexico,1985,88,9.73475,28.7,0.1685795,97.5
Oklahoma,1985,124.2,9.81613,18.1,0.1643785,95.1
Tennessee,1985,128.7,9.757005,19.8,0.1673329,92.5
Illinois,1985,121.6,10.02082,24.3,0.1660325,96.7
Idaho,1985,100.7,9.715257,22.3,0.1505612,97.6
West Virginia,1985,109.1,9.651716,19.7,0.161551,103.2
Vermont,1985,144.5,9.848504,26.6,0.1727543,95.5
Alabama,1985,114.5,9.703193,18.7,0.1711218,99
Connecticut,1985,111,10.21292,20.8,0.1595296,118.6
Louisiana,1985,125,9.76166,23,0.1771508,103
Kentucky,1985,182.4,9.703631,18.9,0.1714489,79.3
South Carolina,1985,125.4,9.697684,22.1,0.1799889,83
Wyoming,1985,125.7,9.910659,26,0.1677588,87.4
Nevada,1985,146.7,10.02568,35.7,0.1577097,109.3
Delaware,1985,144.5,9.996334,26.2,0.1731173,98.7
North Dakota,1985,103.2,9.793513,23.1,0.175083,100.6
Missouri,1985,129.2,9.913292,23.7,0.1621277,93.7
California,1985,102.8,10.0997,24,0.1695308,98
Rhode Island,1985,133.4,9.955239,25.7,0.1717566,100.3
Georgia,1985,128.8,9.862127,21.4,0.1732669,90.7
Maine,1985,127.9,9.807659,22.2,0.161594,98.1
Wisconsin,1985,107,9.894386,32.1,0.1694686,106.8
Colorado,1985,112.4,10.00078,25.2,0.1676481,93.1
Nebraska,1985,105.1,9.875531,24.6,0.1635996,95.8
Arkansas,1985,125.8,9.675527,18.1,0.1611448,98.5
New Hampshire,1985,201.1,10.06133,35.7,0.1648601,89.2
Mississippi,1985,115.3,9.553737,20.6,0.1779746,96.4
Pennsylvania,1985,115.8,9.944738,24.9,0.1604304,100.1
Virginia,1985,134.6,9.98497,22.4,0.1732686,83.6
Montana,1985,103.6,9.729407,27.8,0.1593874,95.5
Indiana,1985,135.3,9.844302,22,0.1710934,88.8
Texas,1985,115.9,9.928036,29.1,0.1734967,102.1
South Dakota,1985,104.4,9.719058,20.9,0.1677833,92.3
Missouri,1986,128.8,9.946776,24.2,0.1577015,101.9
Arkansas,1986,126,9.705939,18.7,0.1576782,103.6
South Carolina,1986,126.6,9.729729,22.9,0.1755639,88.7
Pennsylvania,1986,113.9,9.987108,25.2,0.1564241,104.9
Kentucky,1986,179.8,9.729917,19.2,0.1674978,85.4
California,1986,99.7,10.12727,24.7,0.1655293,104.4
Connecticut,1986,108.5,10.26861,20.6,0.1553994,118.5
Rhode Island,1986,136.3,10.00257,26,0.1680931,101.8
New Hampshire,1986,195.9,10.12613,34.7,0.1604814,100
Minnesota,1986,104.3,10.00552,23,0.1612968,116.3
Utah,1986,64.4,9.715573,13.7,0.1807875,103.5
Kansas,1986,109.4,9.961418,19.9,0.1604848,103
Maine,1986,119,9.87409,22.4,0.1574684,112.7
Nevada,1986,142.6,10.06373,37.2,0.1525016,106.6
Wisconsin,1986,105.4,9.932973,32.7,0.1643908,110.8
Illinois,1986,118.2,10.0553,24.7,0.1617839,108.4
Indiana,1986,137.6,9.882232,22.1,0.1670971,93.6
Alabama,1986,116.3,9.74595,19.3,0.1674417,103
West Virginia,1986,112.1,9.688001,19.6,0.1582714,104.1
Montana,1986,97.8,9.774853,27.4,0.1533995,102
Iowa,1986,104.1,9.870234,23.3,0.1604914,104.8
Ohio,1986,126.3,9.938112,23.4,0.1615607,98.1
Nebraska,1986,103.1,9.896881,24.5,0.1586125,104
Idaho,1986,96.7,9.736214,22.5,0.1491056,99.9
Colorado,1986,109.9,10.00159,25.5,0.1615929,95.1
Wyoming,1986,124.8,9.874267,24.5,0.1613106,97.8
Texas,1986,113.7,9.8984,29,0.1692333,105.5
South Dakota,1986,97,9.753733,21.2,0.1619767,108.5
Tennessee,1986,129,9.814326,20.9,0.1636398,98.8
Vermont,1986,131.2,9.907775,27.6,0.1681662,104.9
North Carolina,1986,154.4,9.830363,20,0.1716408,83.7
Virginia,1986,135.8,10.03191,23.4,0.1691342,91.3
Georgia,1986,129,9.913809,22.1,0.1695897,100.1
Delaware,1986,142.4,10.03209,26,0.1680101,105.2
Oklahoma,1986,119.9,9.801922,18.3,0.1600311,104.6
North Dakota,1986,99.8,9.804612,23,0.1693645,104.2
Mississippi,1986,113.2,9.576477,21.5,0.1744581,106
Louisiana,1986,121.2,9.740594,23.7,0.1723528,105.1
New Mexico,1986,88.2,9.7369,27.9,0.162848,101.2
Delaware,1987,141,10.04857,25.9,0.162903,111.4
Rhode Island,1987,124.4,10.02757,25.6,0.1644296,113.5
Wisconsin,1987,106,9.941294,31.5,0.159313,116.3
Missouri,1987,128.7,9.953278,24.2,0.1532753,108.5
Connecticut,1987,109,10.30923,21.1,0.1512693,122.7
Colorado,1987,102.4,9.994427,24.8,0.1555378,108.6
Georgia,1987,129.3,9.930798,22.3,0.1659125,103.9
Ohio,1987,124.6,9.943063,23.9,0.157417,102.2
California,1987,97.5,10.1343,24.1,0.1615277,103.9
Indiana,1987,134,9.897043,21.9,0.1631009,100.1
Utah,1987,67.7,9.719886,13,0.177266,108.6
Wyoming,1987,110.4,9.839849,24.5,0.1548623,102.7
Kansas,1987,105.2,9.96282,19.7,0.1554359,114.5
Mississippi,1987,110,9.599513,21.6,0.1709415,115.8
Vermont,1987,128.3,9.935688,27.8,0.1635781,113.8
Maine,1987,125,9.911307,22.6,0.1533428,121.2
Louisiana,1987,116.5,9.716699,24.3,0.1675547,117.8
Pennsylvania,1987,110.6,10.00093,25.1,0.1524177,110
South Carolina,1987,126.6,9.754577,23.5,0.1711388,95.3
North Dakota,1987,92.3,9.789935,23.3,0.163646,110.3
Nevada,1987,147.7,10.07728,37.7,0.1472936,114
Texas,1987,105.8,9.88912,27.5,0.16497,114.4
Nebraska,1987,101.3,9.899986,24.8,0.1536254,113.7
Oklahoma,1987,113.1,9.779805,18.2,0.1556836,114.4
North Carolina,1987,150.5,9.854593,20,0.1677757,90.6
South Dakota,1987,95.8,9.779507,21.5,0.1561701,113.7
Iowa,1987,101.1,9.887944,23.1,0.1557826,117.1
Montana,1987,91.7,9.778117,27.2,0.1474117,106.2
New Hampshire,1987,195.1,10.14629,34.7,0.1561027,102
Virginia,1987,133,10.05443,23.5,0.1649998,94.6
Illinois,1987,109.5,10.06775,25.1,0.1575353,116.2
Arkansas,1987,122.3,9.705574,19,0.1542116,113
Minnesota,1987,108.8,10.02377,23.2,0.1557132,120.1
Tennessee,1987,130.6,9.84234,21,0.1599468,103.5
Alabama,1987,114,9.762092,19.4,0.1637616,110
New Mexico,1987,82.3,9.729162,27.8,0.1571164,110.2
Idaho,1987,95,9.740723,22,0.14765,107.1
Kentucky,1987,171.2,9.739725,19,0.1635467,90.5
West Virginia,1987,107.5,9.683081,19.9,0.1549919,112.8
Colorado,1988,94.6,10.01883,24.2,0.1494826,116
Utah,1988,55,9.729156,12.8,0.1737445,122.9
South Dakota,1988,91.9,9.765355,21,0.1503635,124.7
Georgia,1988,124.1,9.952863,21.7,0.1622353,109.2
California,1988,90.1,10.14166,23.6,0.1575262,117.4
Delaware,1988,137.1,10.07772,25.7,0.1577958,119.3
Connecticut,1988,104.8,10.3554,20.7,0.1471392,129.7
Arkansas,1988,121.5,9.721532,18.9,0.150745,119.9
Kentucky,1988,173.2,9.758579,19.1,0.1595956,94.4
Louisiana,1988,110.9,9.744105,24.6,0.1627566,120.4
New Hampshire,1988,180.4,10.17227,34.1,0.151724,113.5
Kansas,1988,103.2,9.969703,19.3,0.150387,123.9
Maine,1988,125,9.944216,22.9,0.1492171,129
Vermont,1988,128.7,9.960271,27,0.15899,123.7
Tennessee,1988,125.3,9.864699,21.5,0.1562537,112.1
Idaho,1988,84.5,9.766004,21.1,0.1461945,121.9
Wisconsin,1988,102.6,9.947214,31,0.1542352,128.6
Ohio,1988,122.4,9.968595,23.7,0.1532732,108.4
Indiana,1988,134,9.915045,21.9,0.1591046,109.3
New Mexico,1988,77.7,9.743268,27.2,0.1513849,113.7
Illinois,1988,107.6,10.08796,25,0.1532866,124.1
North Carolina,1988,146,9.882553,20.1,0.1639105,96
Montana,1988,87.1,9.765144,27.6,0.1414239,115.3
Virginia,1988,129.5,10.07846,23.3,0.1608654,102.1
Nevada,1988,141.9,10.09819,39.3,0.1420855,129.6
Minnesota,1988,94.1,10.01661,22.9,0.1501295,141.7
Pennsylvania,1988,107.6,10.02141,25.3,0.1484114,112.3
Nebraska,1988,92.9,9.935325,24.3,0.1486383,123.3
Oklahoma,1988,103.6,9.80147,18.3,0.1513362,122.6
Mississippi,1988,109,9.627286,21.9,0.167425,122.6
Texas,1988,96.5,9.905223,27.5,0.1607066,128
Missouri,1988,127.4,9.958259,23.6,0.1488491,114.6
South Carolina,1988,124.4,9.792579,24,0.1667138,99.9
Wyoming,1988,114.3,9.870647,23.6,0.1484141,112.9
Iowa,1988,100.2,9.875571,23,0.1510739,124.2
Rhode Island,1988,138,10.0653,25.3,0.1607662,121.5
Alabama,1988,112.1,9.78177,19.4,0.1600815,114.4
North Dakota,1988,87.1,9.692096,24.1,0.1579275,123.3
West Virginia,1988,109.1,9.708301,20.1,0.1517123,122.2
California,1989,82.4,10.14231,23.7,0.1535246,126.4
North Dakota,1989,84.1,9.786231,24.5,0.1522091,135.9
South Carolina,1989,122.4,9.796468,24,0.1622888,111.9
Arkansas,1989,118.3,9.73737,19,0.1472785,127.7
Indiana,1989,132.5,9.936582,21.5,0.1551084,119
Wyoming,1989,111.4,9.892477,23,0.1419659,118.6
Missouri,1989,122.8,9.972259,23.6,0.1444229,118.9
Mississippi,1989,108.3,9.643641,21.6,0.1639085,125.8
Rhode Island,1989,120.8,10.08002,24.8,0.1571027,134.8
Alabama,1989,105.6,9.802527,19.4,0.1564014,122.3
Minnesota,1989,92.3,10.04741,22.5,0.1445458,152.5
Oklahoma,1989,97.5,9.818206,18.4,0.1469887,133.4
Nevada,1989,137.9,10.12983,40.4,0.1368775,145.6
Utah,1989,57,9.74602,12.7,0.170223,135.6
Iowa,1989,94.4,9.915924,22.7,0.1463651,145.1
North Carolina,1989,139.3,9.889289,20.3,0.1600454,107.6
Colorado,1989,88.8,10.04306,23.9,0.1434275,130.8
Kentucky,1989,171.6,9.787341,18.3,0.1556444,103.8
Tennessee,1989,124.7,9.878853,21.1,0.1525606,121.5
New Hampshire,1989,172.9,10.15991,33.3,0.1473453,125.9
Idaho,1989,78.4,9.827927,21.6,0.1447389,133.6
Vermont,1989,120.9,9.992056,26,0.1544019,129.7
Nebraska,1989,93.8,9.941367,24.1,0.1436512,139.3
New Mexico,1989,74.4,9.760063,27.9,0.1456534,127.2
Wisconsin,1989,100.3,9.965262,30.2,0.1491573,138.3
Kansas,1989,96.5,9.962953,19.4,0.145338,136.5
Georgia,1989,117.1,9.953909,21.5,0.1585581,122.4
Louisiana,1989,103.6,9.750066,24.4,0.1579585,130.7
Montana,1989,86.2,9.81518,27.2,0.135436,123
Texas,1989,94.5,9.919108,27.6,0.1564433,137
Connecticut,1989,100.6,10.36652,19.8,0.1430091,142
South Dakota,1989,87.4,9.814281,21.6,0.1445569,130.1
Virginia,1989,122.5,10.09796,23.6,0.156731,109.4
Illinois,1989,104.6,10.11391,24.4,0.149038,132.7
Delaware,1989,131.7,10.10361,24.9,0.1526886,124
Ohio,1989,118.6,9.977871,23.9,0.1491294,120.5
West Virginia,1989,104,9.724772,20.2,0.1484328,131.2
Pennsylvania,1989,107.1,10.04745,24.6,0.1444051,122.8
Maine,1989,122.4,9.967079,21.8,0.1450915,144.4
South Dakota,1990,88.3,9.861736,23.4,0.1387504,138.9
Colorado,1990,87.4,10.04625,24.2,0.1373723,149.3
Texas,1990,85.6,9.930641,29,0.1521799,145.7
North Dakota,1990,77.1,9.84136,26.6,0.1464906,144.3
Idaho,1990,90.1,9.839928,22.9,0.1432833,141.3
Alabama,1990,108.6,9.81429,20.1,0.1527212,139.1
California,1990,77.8,10.14162,23.8,0.149523,163.8
Nevada,1990,137.3,10.12119,40.2,0.1316694,173.7
New Mexico,1990,70.8,9.765913,27.2,0.1399218,133.6
Delaware,1990,127.2,10.0948,25.8,0.1475815,140
Mississippi,1990,101.8,9.644608,23.3,0.1603919,139.9
North Carolina,1990,133.7,9.903341,20.9,0.1561802,116.4
West Virginia,1990,104.1,9.748378,21.7,0.1451532,142.9
Oklahoma,1990,88.4,9.828145,19.7,0.1426413,146.1
Ohio,1990,115.5,9.977726,23.9,0.1449856,135.4
Arkansas,1990,113.1,9.736311,19.9,0.1438119,141.2
Pennsylvania,1990,101.3,10.05147,25.8,0.1403988,133.7
Illinois,1990,94.1,10.11675,25.7,0.1447893,147.3
Wyoming,1990,96.9,9.939313,25.1,0.1355176,129.5
Iowa,1990,95.4,9.927806,23.6,0.1416564,149.6
Nebraska,1990,89.9,9.968171,25.2,0.1386641,143.4
Tennessee,1990,121.8,9.879503,21.9,0.1488675,135
Maine,1990,117.5,9.949729,22.1,0.1409658,160.1
Kentucky,1990,182.5,9.804601,20.1,0.1516933,115.6
South Carolina,1990,118.6,9.827639,25.6,0.1578638,125.2
Kansas,1990,94.3,9.983666,19.7,0.1402891,145.8
Virginia,1990,118.9,10.08653,24,0.1525966,128.6
Connecticut,1990,91.5,10.3493,19.8,0.138879,171.2
Indiana,1990,128.3,9.935142,22.4,0.1511121,130.8
New Hampshire,1990,152.4,10.12278,32.9,0.1429666,135.9
Utah,1990,53.4,9.755159,12.7,0.1667015,151.9
Vermont,1990,124.3,9.972933,26.1,0.1498138,143.7
Minnesota,1990,90.7,10.0464,23.2,0.1389621,162.3
Louisiana,1990,101.5,9.770264,26.4,0.1531605,143.4
Montana,1990,84.7,9.80227,27.8,0.1294482,140.4
Wisconsin,1990,94,9.969337,30.5,0.1440795,151.1
Rhode Island,1990,101.4,10.05992,24,0.1534392,150.9
Missouri,1990,119.1,9.970405,24.3,0.1399967,129.1
Georgia,1990,113.8,9.953298,22.3,0.1548809,132.3
Idaho,1991,85.4,9.835094,22.2,,144.4
Maine,1991,116.1,9.924435,21.5,,165.8
North Dakota,1991,85.2,9.819377,26.1,,159.8
Alabama,1991,107.9,9.81926,20.1,,144.4
South Carolina,1991,121.5,9.810625,23.8,,129
Montana,1991,82.9,9.83213,28,,143.6
Nebraska,1991,92.4,9.965081,24.6,,152.2
Arkansas,1991,116.8,9.743068,19.9,,146.5
New Mexico,1991,69.9,9.768038,27.1,,146.9
Pennsylvania,1991,102.5,10.04936,24.6,,144.1
Oklahoma,1991,87.8,9.822683,19.7,,149.1
Wyoming,1991,109.1,9.978408,24.7,,136
Louisiana,1991,107.2,9.784423,26.1,,149.6
Illinois,1991,96.1,10.09824,24.4,,154
Ohio,1991,113.2,9.96233,23.6,,139.8
Kansas,1991,91.8,9.976418,20,,152.7
South Dakota,1991,91.8,9.869862,23.5,,150.3
Mississippi,1991,105.6,9.652973,22.9,,142.7
New Hampshire,1991,144.8,10.11431,32.9,,153.9
Nevada,1991,115.5,10.10557,37.7,,186.3
Georgia,1991,109.6,9.941865,21.2,,138.2
North Carolina,1991,132.7,9.893853,20.2,,126.6
Minnesota,1991,86.2,10.03139,22.7,,173.9
California,1991,68.7,10.11071,22.3,,186.8
Tennessee,1991,120.6,9.874686,21.4,,137.4
Wisconsin,1991,95.5,9.960521,29,,158.6
Kentucky,1991,170.4,9.808981,19.4,,120.5
Rhode Island,1991,103.6,10.03951,24.3,,170.3
West Virginia,1991,100.1,9.757508,21.5,,144.1
Delaware,1991,118.8,10.08306,24.9,,143.2
Vermont,1991,120.9,9.951283,25,,150.1
Colorado,1991,90.2,10.05476,23.5,,152.6
Indiana,1991,127.2,9.921082,21.6,,135.8
Virginia,1991,109.1,10.07138,23,,136.5
Utah,1991,53.5,9.762184,13.2,,167.1
Texas,1991,79.4,9.930667,27.7,,173.6
Connecticut,1991,86.7,10.32414,18.7,,175.6
Missouri,1991,119.9,9.968204,23.9,,132.5
Iowa,1991,97.1,9.911109,23.5,,155.4
Maine,1992,114.5,9.942132,20.8,,187.7
California,1992,67.5,10.11494,21.3,,201.9
New Mexico,1992,71.4,9.784279,26.7,,165.4
Arkansas,1992,126,9.788629,20,,177.3
Texas,1992,77.2,9.957264,28.5,,186
Nevada,1992,110,10.1271,36.4,,193.8
Nebraska,1992,90.6,9.99833,24.2,,169.5
South Carolina,1992,112.8,9.825443,23.8,,151.9
South Dakota,1992,93,9.896075,23.6,,163
Rhode Island,1992,100.1,10.0497,22.8,,190
North Carolina,1992,128.9,9.923104,20.7,,145
Utah,1992,55,9.783387,13,,170.1
New Hampshire,1992,143.7,10.12097,32.2,,164.4
Vermont,1992,126.5,9.976772,23.9,,168
Delaware,1992,120,10.09146,25.2,,174.7
Ohio,1992,112.3,9.982689,23,,159.6
Tennessee,1992,121,9.911444,21.7,,163.9
Minnesota,1992,83.8,10.06335,22,,197.7
Illinois,1992,94.8,10.12329,23.8,,179.8
West Virginia,1992,97.9,9.784765,21,,158.2
Kentucky,1992,167.6,9.841689,19,,135.8
Indiana,1992,128.2,9.953797,20.7,,153.5
Missouri,1992,122.3,9.984798,23.7,,153.1
Kansas,1992,90,9.998267,19.2,,174.2
Mississippi,1992,103.9,9.684978,23.5,,160.8
Wisconsin,1992,96.2,9.99266,28.1,,176.5
Connecticut,1992,83.5,10.34384,18.3,,193.5
Pennsylvania,1992,96.2,10.06763,23.5,,176.2
Virginia,1992,108.2,10.08065,22.5,,157.9
Idaho,1992,85.1,9.85615,22.6,,167.2
Georgia,1992,109.2,9.958565,21.6,,159.5
Alabama,1992,109.1,9.845286,20.4,,172.2
North Dakota,1992,74.3,9.882981,25.4,,168.3
Louisiana,1992,108.5,9.805567,26.7,,178.1
Oklahoma,1992,86.3,9.844191,19.9,,170.6
Colorado,1992,88.3,10.06634,23.7,,157.5
Iowa,1992,95.2,9.942481,23.3,,178.5
Montana,1992,86.6,9.838708,27.7,,163.5
Wyoming,1992,110.8,9.979329,24.7,,155.1
South Carolina,1993,115.2,9.834693,24.2,,164.5
Maine,1993,108.5,9.945655,20.6,,192.6
Idaho,1993,86.7,9.877363,21.8,,171.2
Oklahoma,1993,86.2,9.848171,20,,182.4
Wyoming,1993,108.4,9.995123,24.3,,166.9
Montana,1993,86,9.870498,26.2,,179.4
North Dakota,1993,83,9.853105,25.6,,177.6
Nebraska,1993,91.1,9.996415,24.3,,177.2
Mississippi,1993,105.4,9.701045,23.9,,177.8
Delaware,1993,123.8,10.09208,26.2,,187.9
Louisiana,1993,106.2,9.821536,26.5,,180.5
Pennsylvania,1993,94.7,10.06874,23.7,,183.8
North Carolina,1993,129.7,9.940663,20.9,,153.5
New Mexico,1993,69,9.806236,26.4,,172.2
Virginia,1993,105.4,10.08279,22.2,,165.7
Tennessee,1993,120.8,9.925889,21.6,,170.2
Texas,1993,81.3,9.964247,28.1,,204.6
Ohio,1993,108.9,9.989721,23,,162.5
Rhode Island,1993,94.1,10.06695,22.3,,197.9
Arkansas,1993,113.8,9.785142,19.7,,179.9
Colorado,1993,88.6,10.07967,23.5,,168.2
Indiana,1993,126.8,9.965633,20.5,,157.5
California,1993,63.4,10.0985,20.8,,205.1
Kansas,1993,89.9,10.00207,19.4,,174.2
South Dakota,1993,91.6,9.902386,23.5,,180.3
Utah,1993,56.2,9.793717,21.9,,180.1
Kentucky,1993,167.6,9.84325,19.3,,145.4
Minnesota,1993,81.6,10.05818,21.9,,215.6
Nevada,1993,108.1,10.13713,35.1,,196.8
Connecticut,1993,79.1,10.34354,17.9,,202.3
West Virginia,1993,111,9.794651,21.6,,166.2
New Hampshire,1993,148.9,10.11176,32.4,,181.1
Iowa,1993,92.5,9.920983,23,,189.7
Wisconsin,1993,91.2,9.999533,28.3,,195.5
Vermont,1993,117.2,9.979687,23.7,,173.8
Missouri,1993,121.6,9.986176,23.6,,157.6
Georgia,1993,109.2,9.967873,21.7,,167.2
Illinois,1993,94.6,10.12783,23.5,,187.5
Alabama,1993,108.5,9.85216,20.3,,176.2
Tennessee,1994,118.8,9.96069,21.5,,150.3
Indiana,1994,128.2,10.00135,20.6,,146.6
Idaho,1994,93,9.903079,21.4,,150.5
Illinois,1994,85.7,10.15419,23.6,,182.1
Pennsylvania,1994,95.4,10.09234,23.4,,158.1
Louisiana,1994,105.3,9.860993,27.1,,157.4
Arkansas,1994,108.8,9.813631,19.7,,168.1
North Dakota,1994,81,9.916486,25.8,,180.1
Iowa,1994,93.4,9.996867,23.3,,171.4
Utah,1994,55.8,9.836629,12.9,,160.4
Minnesota,1994,83.4,10.09502,22.5,,196.1
South Dakota,1994,94.8,9.972072,24.3,,154.4
Colorado,1994,89.1,10.09746,23.1,,153.2
Maine,1994,101.6,9.962649,20.3,,178.3
Wisconsin,1994,91.8,10.03168,28.3,,178.6
Nebraska,1994,85.9,10.02996,24.7,,169.6
Kansas,1994,89.1,10.02658,19.5,,159.6
Ohio,1994,108.6,10.03149,23,,151.2
Rhode Island,1994,91.9,10.08022,22.6,,168.9
Alabama,1994,107.1,9.879334,21,,154.6
Virginia,1994,106.2,10.10628,21.7,,156.5
West Virginia,1994,104.2,9.830106,21.5,,150.1
Nevada,1994,105.2,10.16239,35.1,,190.3
California,1994,58.6,10.09951,20.1,,190.3
Missouri,1994,119.4,10.01636,24.2,,146.8
Delaware,1994,126.1,10.13125,25.9,,152.5
New Mexico,1994,68.2,9.827472,25.4,,158.4
North Carolina,1994,112.7,9.966932,20.8,,135.9
Montana,1994,88.2,9.8719,26.6,,151.3
Georgia,1994,107.8,9.99824,21.4,,147.8
Vermont,1994,120.3,9.993938,23.3,,159.6
South Carolina,1994,112.2,9.867614,24.7,,139.1
Mississippi,1994,106,9.751939,24.5,,156.9
Wyoming,1994,111.2,10.00381,25,,147.4
Kentucky,1994,170.1,9.8684,19.6,,132.8
Oklahoma,1994,104.8,9.861187,20.4,,163.4
Connecticut,1994,76.6,10.3613,17.9,,205.6
Texas,1994,78.8,9.974076,28.3,,177.7
New Hampshire,1994,153.8,10.15647,31,,157.8
Utah,1995,52,9.872345,12.8,,168.8
Kentucky,1995,175.3,9.903476,18.9,,134.8
Minnesota,1995,84.1,10.14878,22.1,,202.2
Wisconsin,1995,93.5,10.07112,28,,188
Missouri,1995,124,10.05391,23.5,,150.3
Montana,1995,90.5,9.891279,26.5,,155.4
Iowa,1995,93,10.00185,22.7,,179
Wyoming,1995,115,10.00949,23.6,,153
Connecticut,1995,79.3,10.451,17.6,,205.4
Louisiana,1995,105.7,9.910527,26.1,,155.8
Vermont,1995,123.2,10.04172,22.8,,160.1
Virginia,1995,106.7,10.15624,20.7,,157.5
Arkansas,1995,113,9.86446,19.5,,167.3
Indiana,1995,135.4,10.04371,20.1,,146.3
California,1995,56.4,10.15592,19.7,,195.1
North Dakota,1995,80.6,9.884033,25.5,,179.5
Delaware,1995,127.2,10.22965,24.6,,160.7
Maine,1995,102.3,9.969056,21.1,,184.9
North Carolina,1995,124.9,10.02181,20.5,,142.3
Texas,1995,75.2,10.03184,27.1,,185
New Hampshire,1995,158.5,10.21322,31,,163.9
New Mexico,1995,67,9.871939,27.4,,163.5
Idaho,1995,78.2,9.919679,20.1,,163.5
Oklahoma,1995,109.5,9.898376,20,,161.1
Nebraska,1995,88.5,10.03178,24.1,,170.7
Nevada,1995,100.9,10.18081,34.3,,190.4
South Dakota,1995,98.6,9.924325,23.7,,162.1
Tennessee,1995,125.4,10.02626,21.4,,153
